ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 2016-17,Fall Membership (V33) [District Finance] 2016-17
ADAMS 1 MAPLETON AU,Colorado,COLORADO,ADAMS 1 MAPLETON,0800258,†,†
ADAMS 12 FIVE STAR SCHOOLS,Colorado,COLORADO,Adams 12 Five Star Schools,0806900,9400,38818
ADAMS 12 NORTHGLENN AU,Colorado,COLORADO,ADAMS 12 NORTHGLENN,0800268,†,†
ADAMS 14 COMMERCE CITY AU,Colorado,COLORADO,ADAMS 14 COMMERCE CITY,0800272,†,†
ADAMS 27J SCHOOL DISTRICT 27J AU,Colorado,COLORADO,ADAMS 27J BRIGHTON,0800237,†,†
ADAMS CENTRAL COMMUNITY SCHOOLS,Indiana,INDIANA,Adams Central Community Schools,1800060,10358,1047
ADAMS CENTRAL PUBLIC SCHOOLS,Nebraska,NEBRASKA,ADAMS CENTRAL PUBLIC SCHOOLS,3102770,14208,913
ADAMS COUNTY BOCES,Colorado,COLORADO,ADAMS COUNTY BOCES,0800009,†,†
ADAMS COUNTY OHIO VALLEY LOCAL,Ohio,OHIO,Adams County Ohio Valley Local,3906190,10777,3894
ADAMS TOWNSHIP SCHOOL DISTRICT,Michigan,MICHIGAN,Adams Township School District,2601890,8548,465
ADAMS-ARAP 28J AURORA AU,Colorado,COLORADO,ADAMS-ARAP 28J AURORA,0800255,†,†
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,Wisconsin,WISCONSIN,Adams-Friendship Area School District,5500060,14313,1556
ADDISON CENTRAL SCHOOL DISTRICT,New York,NEW YORK,ADDISON CENTRAL SCHOOL DISTRICT,3602370,22401,1140
ADDISON CENTRAL SUPERVISORY DISTRICT,Vermont,VERMONT,Addison Central Supervisory Union,5099903,†,†
ADDISON COMMUNITY SCHOOLS,Michigan,MICHIGAN,Addison Community Schools,2601920,9857,839
ADDISON NORTHWEST SUPERVISORY DISTRICT,Vermont,VERMONT,Addison Northwest Supervisory Union,5099902,†,†
ADDISON SCHOOL DISTRICT,Vermont,VERMONT,Addison School District,5001710,14179,78
ADDISON SD 4,Illinois,ILLINOIS,Addison SD 4,1703150,11508,4201
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,Iowa,IOWA,Adel DeSoto Minburn Comm School District,1903150,10338,1688
ADEL SD 21,Oregon,OREGON,Adel SD 21,4100990,35143,7
ADELANTO ELEMENTARY,California,CALIFORNIA,Adelanto Elementary,0601710,10801,10288
ADENA LOCAL,Ohio,OHIO,Adena Local,3904949,9243,1233
ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,NEW YORK,ADIRONDACK CENTRAL SCHOOL DISTRICT,3605040,19691,1296
ADLAI E STEVENSON HSD 125,Illinois,ILLINOIS,Adlai E Stevenson HSD 125,1732580,26305,4085
ADMIRAL PEARY AREA VOCATIONAL-TECHNICAL SCHOOL,Pennsylvania,PENNSYLVANIA,Admiral Peary AVTS,4280120,†,†
ADNA SCHOOL DISTRICT,Washington,WASHINGTON,Adna School District,5300060,10771,645
ADRIAN ISD,Texas,TEXAS,ADRIAN ISD,4807500,13833,138
ADRIAN PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,ADRIAN PUBLIC SCHOOL DISTRICT,2702730,10648,574
ADRIAN PUBLIC SCHOOLS,Michigan,MICHIGAN,Adrian School District of the City of,2601950,11432,2960
ADRIAN R-III,Missouri,MISSOURI,ADRIAN R-III,2902850,8793,720
ADRIAN SD 61,Oregon,OREGON,Adrian SD 61,4101020,13351,285
ADVANCE R-IV,Missouri,MISSOURI,ADVANCE R-IV,2902880,8176,448
ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),Massachusetts,MASSACHUSETTS,Advanced Math and Science Academy Charter (District),2500085,14748,952
ADVANCED TECHNOLOGY ACADEMY,Michigan,MICHIGAN,Advanced Technology Academy,2600255,8611,1266
ADVANTAGE ACADEMY,Texas,TEXAS,ADVANTAGE ACADEMY,4800041,7771,1650
ADVANTAGE ARTS ACADEMY,UTAH,UTAH,ADVANTAGE ARTS ACADEMY,4900198,†,†
ADVANTAGE CHARTER ACADEMY,LOUISIANA,LOUISIANA,Advantage Charter Academy,2200268,11467,553
AEA 13 GREEN HILLS AEA,Iowa,IOWA,AEA 13 Green Hills AEA,1999013,†,†
AFFTON 101,Missouri,MISSOURI,AFFTON 101,2902910,10438,2474
AFSA HIGH SCHOOL,Minnesota,MINNESOTA,AFSA HIGH SCHOOL,2700186,13097,371
AFTON,Oklahoma,OKLAHOMA,AFTON,4002520,8843,534
AFTON CENTRAL SCHOOL DISTRICT,New York,NEW YORK,AFTON CENTRAL SCHOOL DISTRICT,3602400,26377,536
AGAMIM CLASSICAL ACADEMY,Minnesota,MINNESOTA,AGAMIM CLASSICAL ACADEMY,2700394,13698,149
AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,South Dakota,SOUTH DAKOTA,Agar-Blunt-Onida School District 58-3,4600042,13900,251
AGATE SCHOOL DISTRICT NO. 300,Colorado,COLORADO,Agate School District No. 300,0801980,†,–
AGAWAM,Massachusetts,MASSACHUSETTS,Agawam,2501800,15653,3957
AGBU ALEX-MARIE MANOOGIAN SCHOOL,Michigan,MICHIGAN,AGBU Alex-Marie Manoogian School,2600106,8574,413
AGORA CYBER CS,Pennsylvania,PENNSYLVANIA,Agora Cyber CS,4200140,17942,5868
AGRA,Oklahoma,OKLAHOMA,AGRA,4002550,9681,335
AGUA DULCE ISD,Texas,TEXAS,AGUA DULCE ISD,4807530,11989,358
AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289),Arizona,ARIZONA,Agua Fria Union High School District,0400450,7139,7788
AGUILA ELEMENTARY DISTRICT (4249),Arizona,ARIZONA,Aguila Elementary District,0400480,9216,208
AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6,Colorado,COLORADO,Aguilar Reorganized School District No. 6,0802010,16113,124
AGWSR COMM SCHOOL DISTRICT,Iowa,IOWA,AGWSR Comm School District,1903060,10084,678
AHSTW COMM SCHOOL DISTRICT,Iowa,IOWA,AHSTW Comm School District,1904080,9439,826
AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX (79053),Arizona,ARIZONA,AIBT Non-Profit Charter High School - Phoenix,0400274,6958,240
AIKEN 01,South Carolina,SOUTH CAROLINA,Aiken 01,4500720,9062,24838
AINSWORTH COMMUNITY SCHOOLS,Nebraska,NEBRASKA,AINSWORTH COMMUNITY SCHOOLS,3102790,16082,462
AIRLINE CSD,Maine,MAINE,Airline CSD,2302500,12723,47
AIRPORT COMMUNITY SCHOOLS,Michigan,MICHIGAN,Airport Community Schools,2601980,10084,2488
AITKIN PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,AITKIN PUBLIC SCHOOL DISTRICT,2702760,11837,1171
AJO UNIFIED DISTRICT (4409),Arizona,ARIZONA,Ajo Unified District,0400520,7671,429
AKILI ACADEMY OF NEW ORLEANS,LOUISIANA,LOUISIANA,RSD-Akili Academy of New Orleans,2200208,14813,557
AKIMEL O OTHAM PEE POSH CHARTER SCHOOL INC. (5978),Arizona,ARIZONA,Akimel O Otham Pee Posh Charter School  Inc.,0400403,10000,16
AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL INC. (78966),Arizona,ARIZONA,Akimel O'Otham Pee Posh Charter School  Inc.,0400404,14009,117
AKIN CCSD 91,Illinois,ILLINOIS,Akin CCSD 91,1703210,15267,90
AKRON CENTRAL SCHOOL DISTRICT,New York,NEW YORK,AKRON CENTRAL SCHOOL DISTRICT,3602430,17735,1394
AKRON CITY,Ohio,OHIO,Akron City,3904348,14925,21373
AKRON DIGITAL ACADEMY,Ohio,OHIO,Akron Digital Academy,3900152,9823,300
AKRON PREPARATORY SCHOOL,Ohio,OHIO,Akron Preparatory School,3901503,13283,230
AKRON SCHOOL DISTRICT NO. R-1,Colorado,COLORADO,Akron School District No. R-1,0802040,10220,378
AKRON WESTFIELD COMM SCHOOL DISTRICT,Iowa,IOWA,Akron Westfield Comm School District,1903220,12443,537
AKRON-FAIRGROVE SCHOOLS,Michigan,MICHIGAN,Akron-Fairgrove Schools,2602010,10439,278
AKROS MIDDLE SCHOOL,Ohio,OHIO,Akros Middle School,3901428,11694,124
AL INST DEAF AND BLIND,Alabama,ALABAMA,Al Inst Deaf And Blind,0100009,†,–
ALA CHARLOTTE,North Carolina,NORTH CAROLINA,Aristotle Preparatory Academy,3700350,8333,162
ALABAMA CLINICAL SCHOOLS,Alabama,ALABAMA,Alabama Clinical School,0100183,†,†
ALABAMA SCHOOL OF FINE ARTS,Alabama,ALABAMA,Alabama School of Fine Arts,0100018,†,–
ALABAMA YOUTH SERVICES,Alabama,ALABAMA,Alabama Youth Services,0100002,†,–
ALABASTER CITY,Alabama,ALABAMA,Alabaster City,0100190,10061,6114
ALACHUA,Florida,FLORIDA,ALACHUA,1200030,9071,29475
ALAMANCE-BURLINGTON SCHOOLS,North Carolina,NORTH CAROLINA,Alamance-Burlington Schools,3700030,8448,23005
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,CALIFORNIA,Alameda Cnty. Student Exchange Prog.,0601355,†,†
ALAMEDA COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,Alameda County Office of Education,0691051,14544,2870
ALAMEDA UNIFIED,California,CALIFORNIA,Alameda Unified,0601770,10129,11201
ALAMO,Tennessee,TENNESSEE,Alamo,4700030,7138,640
ALAMO HEIGHTS ISD,Texas,TEXAS,ALAMO HEIGHTS ISD,4807590,9937,4857
ALAMOGORDO,New Mexico,NEW MEXICO,ALAMOGORDO PUBLIC SCHOOLS,3500030,9240,6006
ALAMOSA SCHOOL DISTRICT NO. RE-11J,Colorado,COLORADO,Alamosa School District No. Re-11J,0802070,8420,2339
ALANSON PUBLIC SCHOOLS,Michigan,MICHIGAN,Alanson Public Schools,2621810,11896,230
ALASKA GATEWAY SCHOOL DISTRICT,Alaska,ALASKA,Alaska Gateway School District,0200050,33557,379
ALBA PUBLIC SCHOOLS,Michigan,MICHIGAN,Alba Public Schools,2602040,11611,126
ALBA-GOLDEN ISD,Texas,TEXAS,ALBA-GOLDEN ISD,4807650,8465,882
ALBANY CITY SCHOOL DISTRICT,New York,NEW YORK,ALBANY CITY SCHOOL DISTRICT,3602460,19854,9788
ALBANY CITY UNIFIED,California,CALIFORNIA,Albany City Unified,0601860,12881,3702
ALBANY COUNTY SCHOOL DISTRICT #1,Wyoming,WYOMING,Albany County School District #1,5600730,15758,4023
ALBANY ISD,Texas,TEXAS,ALBANY ISD,4807680,10550,518
ALBANY LEADERSHIP CHARTER SCHOOL FOR GIRLS,New York,NEW YORK,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,3601006,†,394
ALBANY PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,ALBANY PUBLIC SCHOOL DISTRICT,2702930,10224,1743
ALBANY R-III,Missouri,MISSOURI,ALBANY R-III,2902970,9779,439
ALBANY SCHOOL DISTRICT,Vermont,VERMONT,Albany School District,5001740,16718,78
ALBANY SCHOOL DISTRICT,Wisconsin,WISCONSIN,Albany School District,5500120,13908,336
ALBANY SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Albany School District,3301350,†,†
