ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 2016-17,Fall Membership (V33) [District Finance] 2016-17
TWIN RIVERS CAREER & TECH ED SYS,Illinois,ILLINOIS,Twin Rivers Career & Tech Ed Sys,1700243,†,†
TWIN RIVERS COMM SCHOOL DISTRICT,Iowa,IOWA,Twin Rivers Comm School District,1928200,8615,174
TWIN RIVERS R-X,Missouri,MISSOURI,TWIN RIVERS R-X,2930520,9522,952
TWIN RIVERS UNIFIED,California,CALIFORNIA,Twin Rivers Unified,0601332,12405,31979
TWIN VALLEY,Kansas,KANSAS,Twin Valley,2003960,10883,605
TWIN VALLEY COMMUNITY LOCAL,Ohio,OHIO,Twin Valley Community Local,3904900,10542,847
TWIN VALLEY SD,Pennsylvania,PENNSYLVANIA,Twin Valley SD,4224000,14094,3344
TWINFIELD UNION SCHOOL DISTRICT #33,Vermont,VERMONT,Twinfield USD #33,5008225,15455,363
TWINSBURG CITY,Ohio,OHIO,Twinsburg City,3905007,10984,4098
TWO DIMENSIONS PREPARATORY ACADEMY,Texas,TEXAS,TWO DIMENSIONS PREPARATORY ACADEMY,4800069,7968,534
TWO RIVERS CAREER EDUC SYSTEM,Illinois,ILLINOIS,Two Rivers Career Educ System,1700293,†,†
TWO RIVERS COMMUNITY SCHOOL,North Carolina,NORTH CAROLINA,Two Rivers Community School,3700138,9526,173
TWO RIVERS PCS,District of Columbia,DISTRICT OF COLUMBIA,Two Rivers PCS,1100045,19710,765
TWO RIVERS PUBLIC SCHOOL DISTRICT,Wisconsin,WISCONSIN,Two Rivers Public School District,5515120,11010,1742
TWO RIVERS SCHOOL DISTRICT,Arkansas,ARKANSAS,TWO RIVERS SCHOOL DISTRICT,0500079,8820,894
TWO RIVERS SUPERVISORY UNION,Vermont,VERMONT,Two Rivers Supervisory Union,5000385,†,†
TWO ROCK UNION,California,CALIFORNIA,Two Rock Union,0640260,13530,166
TWP HSD 113,Illinois,ILLINOIS,Twp HSD 113,1719080,28695,3737
TYLER COUNTY SCHOOLS,West Virginia,WEST VIRGINIA,TYLER COUNTY SCHOOLS,5401440,13780,1309
TYLER ISD,Texas,TEXAS,TYLER ISD,4843470,8943,18130
TYNGSBOROUGH,Massachusetts,MASSACHUSETTS,Tyngsborough,2511760,14894,1735
TYRONE,Oklahoma,OKLAHOMA,TYRONE,4030480,8195,231
TYRONE AREA SD,Pennsylvania,PENNSYLVANIA,Tyrone Area SD,4224030,11713,1907
TYRRELL COUNTY SCHOOLS,North Carolina,NORTH CAROLINA,Tyrrell County Schools,3704590,14490,616
U S GRANT,Ohio,OHIO,U S Grant,3906280,†,0
UA-PTC TECHNICAL CENTER,Arkansas,ARKANSAS,SALINE COUNTY VOCATIONAL CENTER,0500058,†,0
UBAH ACADEMY,Minnesota,MINNESOTA,UBAH MEDICAL ACADEMY CHARTER SCHOOL,2700363,14550,347
UBLY COMMUNITY SCHOOLS,Michigan,MICHIGAN,Ubly Community Schools,2634380,10274,700
UDALL,Kansas,KANSAS,Udall,2012390,12415,323
UF LAB SCH,Florida,FLORIDA,UF LAB SCH,1202015,†,1150
UFT CHARTER SCHOOL,New York,NEW YORK,UFT CHARTER SCHOOL,3600150,†,300
UHSD #32,Vermont,VERMONT,UHSD #32,5008237,17606,683
UINTA COUNTY SCHOOL DISTRICT #1,Wyoming,WYOMING,Uinta County School District #1,5602760,15757,2770
UINTA COUNTY SCHOOL DISTRICT #4,Wyoming,WYOMING,Uinta County School District #4,5604500,15370,851
UINTA COUNTY SCHOOL DISTRICT #6,Wyoming,WYOMING,Uinta County School District #6,5604260,16655,725
UINTAH DISTRICT,Utah,UTAH,UINTAH DISTRICT,4901080,7739,7236
UINTAH RIVER HIGH,Utah,UTAH,UINTAH RIVER HIGH,4900013,13342,76
UKIAH SD 80R,Oregon,OREGON,Ukiah SD 80R,4112540,31040,25
UKIAH UNIFIED,California,CALIFORNIA,Ukiah Unified,0640300,11318,6579
ULEN-HITTERDAL PUBLIC SCHOOL DIST,Minnesota,MINNESOTA,ULEN-HITTERDAL PUBLIC SCHOOL DIST,2740810,11422,308
ULM ELEM,Montana,MONTANA,Ulm Elem,3026880,11019,106
ULSTER BOCES,New York,NEW YORK,ULSTER BOCES,3680920,†,†
ULYSSES,Kansas,KANSAS,Ulysses,2012420,8878,1766
UMATILLA SD 6R,Oregon,OREGON,Umatilla SD 6R,4112600,11363,1356
UME PREPARATORY ACADEMY,Texas,TEXAS,UME PREPARATORY ACADEMY,4801425,6772,627
UMO N HO N NATION PUBLIC SCHS,Nebraska,NEBRASKA,UMO N HO N NATION PUBLIC SCHS,3119560,18321,548
UNADILLA VALLEY CENTRAL SCHOOL DISTRICT,New York,NEW YORK,UNADILLA VALLEY CENTRAL SCHOOL DISTRICT,3600019,21781,810
UNALASKA CITY SCHOOL DISTRICT,Alaska,ALASKA,Unalaska City School District,0200720,22514,387
UNCOMPAHGRE BOCES,Colorado,COLORADO,UNCOMPAHGRE BOCES,0800013,†,†
UNCOMPAHGRE BOCES AU,Colorado,COLORADO,UNCOMPAHGRE BOCS,0800262,†,†
UNDERWOOD 8,North Dakota,NORTH DAKOTA,UNDERWOOD 8,3818660,13764,225
UNDERWOOD COMM SCHOOL DISTRICT,Iowa,IOWA,Underwood Comm School District,1928230,11471,716
UNDERWOOD PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,UNDERWOOD PUBLIC SCHOOL DISTRICT,2740830,9197,575
UNICOI COUNTY,Tennessee,TENNESSEE,Unicoi County,4704230,9376,2366
UNIFIED SCHOOL DISTRICT #1,Connecticut,CONNECTICUT,UNIFIED SCHOOL DISTRICT #1,0900003,†,363
UNIFIED SCHOOL DISTRICT #2,Connecticut,CONNECTICUT,UNIFIED SCHOOL DISTRICT #2,0900004,†,130
UNION,Florida,FLORIDA,UNION,1201890,8722,2340
UNION,Oklahoma,OKLAHOMA,UNION,4030600,8129,15983
UNION 01,South Carolina,SOUTH CAROLINA,Union 01,4503750,9433,4044
UNION ACADEMY CHARTER SCHOOL,North Carolina,NORTH CAROLINA,Union Academy Charter School,3700112,7282,1436
UNION AREA SD,Pennsylvania,PENNSYLVANIA,Union Area SD,4224060,13580,721
UNION BEACH PUBLIC SCHOOL DISTRICT,New Jersey,NEW JERSEY,Union Beach Public School District,3416350,17982,609
UNION CITY,Oklahoma,OKLAHOMA,UNION CITY,4030630,7416,317
UNION CITY,Tennessee,TENNESSEE,Union City,4704260,9108,1689
UNION CITY AREA SD,Pennsylvania,PENNSYLVANIA,Union City Area SD,4224090,13840,1134
UNION CITY COMMUNITY SCHOOLS,Michigan,MICHIGAN,Union City Community Schools,2634410,10185,1066
UNION CITY SCHOOL DISTRICT,New Jersey,NEW JERSEY,Union City School District,3416380,16382,13949
UNION CO SCHOOL DIST,Mississippi,MISSISSIPPI,UNION CO SCHOOL DIST,2804350,7967,2830
UNION CO/CLG CORNER JOINT SCH DIST,Indiana,INDIANA,Union Co/Clg Corner Joint Sch Dist,1811610,12006,1328
UNION COMM SCHOOL DISTRICT,Iowa,IOWA,Union Comm School District,1900022,11124,1149
UNION COUNTY,Georgia,GEORGIA,Union County,1305250,11814,2855
UNION COUNTY,Tennessee,TENNESSEE,Union County,4704290,7935,3749
UNION COUNTY,Kentucky,KENTUCKY,Union County,2105640,10415,2211
UNION COUNTY EDUCATIONAL SERVICES COMMISSION,New Jersey,NEW JERSEY,Union County Educational Services Commission,3416400,†,†
UNION COUNTY PUBLIC SCHOOLS,North Carolina,NORTH CAROLINA,Union County Public Schools,3704620,8349,41782
UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,New Jersey,NEW JERSEY,Union County TEAMS Charter School-High School/College LA,3400083,13563,394
UNION COUNTY VOCATIONAL-TECHNICAL SCHOOL DISTRICT,New Jersey,NEW JERSEY,Union County Vocational-Technical School District,3418040,17174,1499
UNION DAY SCHOOL,NORTH CAROLINA,NORTH CAROLINA,Union Day School,3700403,6171,287
UNION ELEMENTARY,California,CALIFORNIA,Union Elementary,0640320,10754,5751
UNION ELEMENTARY DISTRICT (4277),Arizona,ARIZONA,Union Elementary District,0408820,6870,1948
UNION FREE SCHOOL DISTRICT OF THE TARRYTOWNS,New York,NEW YORK,UNION FREE SCHOOL DISTRICT OF THE TARRYTOWNS,3628650,24496,2730
UNION GAP SCHOOL DISTRICT,Washington,WASHINGTON,Union Gap School District,5309150,11111,650
UNION GROVE ISD,Texas,TEXAS,UNION GROVE ISD,4843530,10068,760
UNION GROVE J1 SCHOOL DISTRICT,Wisconsin,WISCONSIN,Union Grove J1 School District,5515180,10421,817
UNION GROVE UHS SCHOOL DISTRICT,Wisconsin,WISCONSIN,Union Grove UHS School District,5515150,10233,1012
UNION HILL ELEMENTARY,California,CALIFORNIA,Union Hill Elementary,0640380,9438,669
UNION HILL ISD,Texas,TEXAS,UNION HILL ISD,4843560,10180,383
UNION JOINT ELEMENTARY,California,CALIFORNIA,Union Joint Elementary,0640410,21167,12
UNION LOCAL,Ohio,OHIO,Union Local,3904601,9705,1473
UNION PARISH,Louisiana,LOUISIANA,Union Parish,2201770,13417,2113
UNION PREPARATORY ACADEMY AT INDIAN TRAI,NORTH CAROLINA,NORTH CAROLINA,Union Preparatory Academy at Indian Trai,3700401,6968,633
UNION PUBLIC SCHOOL DIST,Mississippi,MISSISSIPPI,UNION PUBLIC SCHOOL DIST,2804380,7578,1019
UNION R-XI,Missouri,MISSOURI,UNION R-XI,2930570,8653,3146
UNION RIDGE SD 86,Illinois,ILLINOIS,Union Ridge SD 86,1739780,12231,679
UNION SCHOOL CORPORATION,Indiana,INDIANA,Union School Corporation,1811730,9226,420
UNION SCHOOL DISTRICT,Connecticut,CONNECTICUT,UNION SCHOOL DISTRICT,0904650,25794,68
UNION SCHOOL DISTRICT #47,Vermont,VERMONT,Union School District #47,5000009,12873,204
UNION SD,Pennsylvania,PENNSYLVANIA,Union SD,4224120,17846,547
UNION SD 5,Oregon,OREGON,Union SD 5,4112690,11860,322
UNION SD 81,Illinois,ILLINOIS,Union SD 81,1739660,34667,111
UNION SPRINGS CENTRAL SCHOOL DISTRICT,New York,NEW YORK,UNION SPRINGS CENTRAL SCHOOL DISTRICT,3629250,19798,863
UNION STAR R-II,Missouri,MISSOURI,UNION STAR R-II,2930600,13970,135
UNION TOWNSHIP SCHOOL CORP,Indiana,INDIANA,Union Township School Corp,1811700,9324,1468
UNION TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Union Township School District,3416440,19383,444
UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,New York,NEW YORK,UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,3610710,19069,3872
UNION-NORTH UNITED SCHOOL CORP,Indiana,INDIANA,Union-North United School Corp,1811910,8438,1134
UNION-SCIOTO LOCAL,Ohio,OHIO,Union-Scioto Local,3904953,9286,2146
UNIONDALE UNION FREE SCHOOL DISTRICT,New York,NEW YORK,UNIONDALE UNION FREE SCHOOL DISTRICT,3629280,25507,7152
UNIONTOWN,Kansas,KANSAS,Uniontown,2012450,12264,443
UNIONTOWN AREA SD,Pennsylvania,PENNSYLVANIA,Uniontown Area SD,4224150,14090,2768
UNIONVILLE-CHADDS FORD SD,Pennsylvania,PENNSYLVANIA,Unionville-Chadds Ford SD,4224210,16846,4012
UNIONVILLE-SEBEWAING AREA S.D.,Michigan,MICHIGAN,Unionville-Sebewaing Area S.D.,2634440,9789,739
UNITED 7,North Dakota,NORTH DAKOTA,UNITED 7,3818730,12480,652
UNITED ABILITY,Alabama,ALABAMA,UCP Of Greater Birmingham,0100019,†,†
UNITED COMM SCHOOL DISTRICT,Iowa,IOWA,United Comm School District,1928560,10582,383
UNITED COMMUNITY CENTER INC,WISCONSIN,WISCONSIN,United Community Center Acosta Middle School Agency,5500077,†,53
UNITED COMMUNITY SCHOOL,North Carolina,NORTH CAROLINA,United Community School,3700367,8280,186
UNITED CUSD 304,Illinois,ILLINOIS,United CUSD 304,1700321,13160,987
UNITED ISD,Texas,TEXAS,UNITED ISD,4843650,9020,43660
UNITED LOCAL,Ohio,OHIO,United Local,3904645,10596,1178
UNITED PREPARATORY ACADEMY,Ohio,OHIO,United Preparatory Academy,3901529,9072,194
UNITED SD,Pennsylvania,PENNSYLVANIA,United SD,4224240,16386,1079
UNITED SOUTH CENTRAL SCHOOLS,Minnesota,MINNESOTA,UNITED SOUTH CENTRAL SCHOOL DIST.,2700005,11675,735
UNITED TWP AREA CAREER CTR,Illinois,ILLINOIS,United Twp Area Career Ctr,1700083,†,†
UNITED TWP HSD 30,Illinois,ILLINOIS,United Twp HSD 30,1739870,13228,1690
UNITY CHARTER SCHOOL,New Jersey,NEW JERSEY,Unity Charter School,3400051,17536,233
UNITY CLASSICAL CHARTER SCHOOL,NORTH CAROLINA,NORTH CAROLINA,Unity Classical Charter School,3700409,†,†
UNITY POINT CCSD 140,Illinois,ILLINOIS,Unity Point CCSD 140,1739930,10146,699
UNITY PREPARATORY CHARTER SCHOOL OF BROOKLYN,New York,NEW YORK,UNITY PREPARATORY CHARTER SCHOOL OF BROOKLYN,3601094,†,387
UNITY SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Unity School District,3306750,10669,172
UNITY SCHOOL DISTRICT,Wisconsin,WISCONSIN,Unity School District,5500750,12629,955
UNIVERSAL ACADEMY,Michigan,MICHIGAN,Universal Academy,2600237,8120,716
UNIVERSAL ACADEMY,Texas,TEXAS,UNIVERSAL ACADEMY,4800070,7006,2090
UNIVERSAL ACADEMY CHARTER SCHOOL,Minnesota,MINNESOTA,UNIVERSAL ACADEMY CHARTER SCHOOL,2700393,8713,293
UNIVERSAL ALCORN CS,Pennsylvania,PENNSYLVANIA,Universal Alcorn CS,4200872,14845,459
UNIVERSAL AUDENRIED CS,Pennsylvania,PENNSYLVANIA,Universal Audenried Charter School,4200856,18514,584
UNIVERSAL CREIGHTON CS,Pennsylvania,PENNSYLVANIA,Universal Creighton Charter School,4200866,14047,700
UNIVERSAL INSTITUTE CS,Pennsylvania,PENNSYLVANIA,Universal Institute CS,4200055,16879,676
UNIVERSAL LEARNING ACADEMY,Michigan,MICHIGAN,Universal Learning Academy,2600300,8319,686
UNIVERSAL VARE CS,Pennsylvania,PENNSYLVANIA,Universal Vare Charter School,4200855,15292,387
UNIVERSITY ACADEMY,Missouri,MISSOURI,UNIVERSITY ACADEMY,2900027,12613,1066
UNIVERSITY ACADEMY,Ohio,OHIO,University Academy,3901556,10269,171
UNIVERSITY ACADEMY CHARTER HIGH SCHOOL,New Jersey,NEW JERSEY,University Academy Charter High School,3400073,17556,430
UNIVERSITY CITY,Missouri,MISSOURI,UNIVERSITY CITY,2930660,13764,2818
UNIVERSITY HEIGHTS CHARTER SCHOOL,New Jersey,NEW JERSEY,University Heights Charter School,3400084,19203,696
UNIVERSITY OF CLEVELAND PREPARATORY SCHOOL,Ohio,OHIO,University of Cleveland Preparatory School,3901457,10995,401
UNIVERSITY OF HOUSTON CHARTER SCHOOL,Texas,TEXAS,UNIVERSITY OF HOUSTON CHARTER SCHOOL,4800031,9703,128
UNIVERSITY OF ILL LAB SCHOOL,Illinois,ILLINOIS,University of Ill Lab School,1700100,†,2
UNIVERSITY OF NEBRASKA HIGH SCHOOL,Nebraska,NEBRASKA,UNIVERSITY OF NEBRASKA HIGH SCHOOL,3100059,†,110
UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,Texas,TEXAS,UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,4800251,11263,304
UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,Texas,TEXAS,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,4800071,17029,589
UNIVERSITY OF VERMONT,Vermont,VERMONT,University of Vermont,5000372,†,†
UNIVERSITY OF VIRGINIA,Virginia,VIRGINIA,UNIVERSITY OF VA,5100041,†,0
UNIVERSITY OF WASHINGTON (17904),Washington,WASHINGTON,University of Washington (17904),5300320,†,0
UNIVERSITY PLACE SCHOOL DISTRICT,Washington,WASHINGTON,University Place School District,5309180,10683,5714
UNIVERSITY PREP CHARTER HIGH SCHOOL,New York,NEW YORK,UNIVERSITY PREP CHARTER HIGH SCHOOL,3600963,†,404
UNIVERSITY PREPARATORY ACADEMY (PSAD),Michigan,MICHIGAN,University Preparatory Academy (PSAD),2600956,9574,1815
UNIVERSITY PREPARATORY ART & DESIGN,Michigan,MICHIGAN,Henry Ford Academy: School for Creative Studies (PSAD),2600961,9317,1239
UNIVERSITY PREPARATORY CHARTER SCHOOL FOR YOUNG MEN,New York,NEW YORK,UNIVERSITY PREPARATORY CHARTER SCHOOL FOR YOUNG MEN,3601008,†,385
UNIVERSITY PREPARATORY SCIENCE AND MATH (PSAD),Michigan,MICHIGAN,University Preparatory Science and Math (PSAD),2600952,9142,1438
UNIVERSITY VIEW ACADEMY INC. (FRM LA CONNECTIONS),Louisiana,LOUISIANA,University View Academy Inc. (FRM LA Connections),2200157,9094,2275
UNIVERSITY YES ACADEMY,Michigan,MICHIGAN,University Yes Academy,2600971,7795,609
UNM MIMBRES SCHOOL,New Mexico,NEW MEXICO,CHILDRENS PSYC,3500016,†,31
UP ACADEMY CHARTER SCHOOL OF BOSTON (DISTRICT),Massachusetts,MASSACHUSETTS,UP Academy Charter School of Boston (District),2500533,16271,472
UP ACADEMY CHARTER SCHOOL OF DORCHESTER (DISTRICT),Massachusetts,MASSACHUSETTS,UP Academy Charter School of Dorchester (District),2500549,15263,744
UP-ISLAND REGIONAL,Massachusetts,MASSACHUSETTS,Up-Island Regional,2500043,29198,393
UPLAND UNIFIED,California,CALIFORNIA,Upland Unified,0600016,11137,11028
UPLIFT COMMUNITY SCHOOL,New Mexico,NEW MEXICO,UPLIFT COMMUNITY SCHOOL,3500147,8852,189
UPLIFT EDUCATION,Texas,TEXAS,UPLIFT EDUCATION,4800030,8420,15768
UPPER ADAMS SD,Pennsylvania,PENNSYLVANIA,Upper Adams SD,4224300,12929,1686
UPPER ARLINGTON CITY,Ohio,OHIO,Upper Arlington City,3904493,15048,5935
UPPER BUCKS COUNTY TECHNICAL SCHOOL,Pennsylvania,PENNSYLVANIA,Upper Bucks County Technical School,4280110,†,†
UPPER CAPE COD REGIONAL VOCATIONAL TECHNICAL,Massachusetts,MASSACHUSETTS,Upper Cape Cod Regional Vocational Technical,2511800,22604,709
UPPER CARMEN PUBLIC CHARTER SCHOOL INC.,Idaho,IDAHO,UPPER CARMEN PUBLIC CHARTER SCHOOL INC.,1600170,7878,115
UPPER DARBY SD,Pennsylvania,PENNSYLVANIA,Upper Darby SD,4224320,12770,12297
UPPER DAUPHIN AREA SD,Pennsylvania,PENNSYLVANIA,Upper Dauphin Area SD,4224360,14297,1169
UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Upper Deerfield Township School District,3416530,17538,894
UPPER DUBLIN SD,Pennsylvania,PENNSYLVANIA,Upper Dublin SD,4224390,18785,4099
UPPER FREEHOLD REGIONAL SCHOOL DISTRICT,New Jersey,NEW JERSEY,UPPER FREEHOLD REGIONAL SCHOOL DISTRICT,3416560,17613,2310
UPPER LAKE UNIFIED,CALIFORNIA,CALIFORNIA,Upper Lake Unified,0601442,12717,834
UPPER LAKE UNION ELEMENTARY,California,CALIFORNIA,Upper Lake Union Elementary,0640470,†,†
UPPER LAKE UNION HIGH,California,CALIFORNIA,Upper Lake Union High,0640500,†,†
UPPER MERION AREA SD,Pennsylvania,PENNSYLVANIA,Upper Merion Area SD,4224480,20388,3969
UPPER MISSISSIPPI ACADEMY,Minnesota,MINNESOTA,UPPER MISSISSIPPI ACADEMY,2700376,10556,250
UPPER MORELAND TOWNSHIP SD,Pennsylvania,PENNSYLVANIA,Upper Moreland Township SD,4224510,17137,3095
UPPER PERKIOMEN SD,Pennsylvania,PENNSYLVANIA,Upper Perkiomen SD,4224540,14293,3337
UPPER PITTSGROVE TWP SCHOOL DISTRICT,New Jersey,NEW JERSEY,UPPER PITTSGROVE TWP Scool District,3416590,17054,349
UPPER RIO GRANDE SCHOOL DISTRICT C-7,Colorado,COLORADO,Del Norte Consolidated School District No. C-7,0803300,12509,440
UPPER SADDLE RIVER SCHOOL DISTRICT,New Jersey,NEW JERSEY,UPPER SADDLE RIVER SCHOOL DISTRICT,3416620,19673,1214
UPPER SANDUSKY EXEMPTED VILLAGE,Ohio,OHIO,Upper Sandusky Exempted Village,3910024,10980,1609
UPPER SCIOTO VALLEY LOCAL,Ohio,OHIO,Upper Scioto Valley Local,3904752,12561,497
UPPER ST. CLAIR SD,Pennsylvania,PENNSYLVANIA,Upper Saint Clair SD,4224570,15938,4079
UPPER TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Upper Township School District,3416650,19166,1412
UPPER VALLEY CAREER CENTER,Ohio,OHIO,Upper Valley Career Center,3906212,†,0
UPPER VALLEY SPECIAL ED UNIT,North Dakota,NORTH DAKOTA,UPPER VALLEY SPECIAL ED UNIT,3880540,†,†
UPPER WEST SHORE ELEM,Montana,MONTANA,Upper West Shore Elem,3015900,8075,53
UPROAR LEADERSHIP ACADEMY,NORTH CAROLINA,NORTH CAROLINA,UpROAR Leadership Academy,3700416,†,†
UPSALA PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,UPSALA PUBLIC SCHOOL DISTRICT,2740860,10153,380
UPSHUR COUNTY SCHOOLS,West Virginia,WEST VIRGINIA,UPSHUR COUNTY SCHOOLS,5401470,10391,3785
UPTON PUBLIC SCHOOLS,Maine,MAINE,Upton Public Schools,2313070,†,†
URBAN ACADEMY,Minnesota,MINNESOTA,URBAN ACADEMY CHARTER SCHOOL,2700353,11993,304
URBAN ACADEMY OF GREATER PITTSBURGH CS,Pennsylvania,PENNSYLVANIA,Urban Academy of Greater Pittsburgh CS,4200019,16875,224
URBAN CHOICE CHARTER SCHOOL,New York,NEW YORK,URBAN CHOICE CHARTER SCHOOL,3600134,†,397
URBAN COLLABORATIVE,Rhode Island,RHODE ISLAND,Urban Collaborative,4400005,†,–
URBAN DOVE TEAM CHARTER SCHOOL,New York,NEW YORK,URBAN DOVE TEAM CHARTER SCHOOL,3601065,†,260
URBAN PATHWAYS 6-12 CS,Pennsylvania,PENNSYLVANIA,Urban Pathways 6-12 CS,4200018,16794,330
URBAN PATHWAYS K-5 COLLEGE CS,Pennsylvania,PENNSYLVANIA,Urban Pathways K-5 College Charter School,4200847,16343,283
URBANA CITY,Ohio,OHIO,Urbana City,3904494,11923,1949
URBANA COMMUNITY SCHOOL,Ohio,OHIO,Urbana Community School,3900153,6188,48
URBANA SD 116,Illinois,ILLINOIS,Urbana SD 116,1739960,14963,4426
URBANDALE COMM SCHOOL DISTRICT,Iowa,IOWA,Urbandale Comm School District,1928680,12008,3647
USBE,Utah,UTAH,USBE,4900135,†,–
UT TYLER UNIVERSITY ACADEMY,Texas,TEXAS,UT TYLER INNOVATION ACADEMY,4801427,7884,636
UTA HALEE ACADEMY PROGRAM,Nebraska,NEBRASKA,UTA HALEE ACADEMY PROGRAM,3100166,†,†
UTAH ARTS ACADEMY,Utah,UTAH,TUACAHN HIGH SCHOOL FOR THE PERFORMING ARTS,4900012,8394,393
UTAH CAREER PATH HIGH SCHOOL,Utah,UTAH,UTAH CAREER PATH HIGH SCHOOL,4900171,7322,146
UTAH CONNECTIONS ACADEMY,Utah,UTAH,UTAH CONNECTIONS ACADEMY,4900151,7567,927
UTAH COUNTY ACADEMY OF SCIENCE,Utah,UTAH,UTAH COUNTY ACADEMY OF SCIENCE (UCAS),4900020,6013,396
UTAH ELECTRONIC HIGH SCHOOL,Utah,UTAH,UTAH ELECTRONIC HIGH SCHOOL,4900153,†,0
UTAH INTERNATIONAL CHARTER SCHOOL,Utah,UTAH,UTAH INTERNATIONAL CHARTER SCHOOL,4900166,8712,215
UTAH MILITARY ACADEMY,UTAH,UTAH,UTAH MILITARY ACADEMY,4900176,8080,502
UTAH SCHOOLS FOR THE DEAF AND THE BLIND,Utah,UTAH,UTAH SCHOOLS FOR DEAF & BLIND,4900069,†,265
UTAH VIRTUAL ACADEMY,Utah,UTAH,UTAH VIRTUAL ACADEMY,4900130,5621,1989
UTE PASS BOCES,Colorado,COLORADO,UTE PASS BOCES,0800022,†,†
UTE PASS BOCES AU,Colorado,COLORADO,UTE PASS BOCES,0800275,†,†
UTICA ACADEMY OF SCIENCE CHARTER SCHOOL,New York,NEW YORK,UTICA ACADEMY OF SCIENCE CHARTER SCHOOL,3601084,†,409
UTICA CITY SCHOOL DISTRICT,New York,NEW YORK,UTICA CITY SCHOOL DISTRICT,3629370,14826,10311
UTICA COMMUNITY SCHOOLS,Michigan,MICHIGAN,Utica Community Schools,2634470,10101,27718
UTICA SHALE ACADEMY OF OHIO,OHIO,OHIO,Utica Shale Academy of Ohio,3901566,7529,68
UTOPIA ISD,Texas,TEXAS,UTOPIA ISD,4843680,10977,218
UTPB STEM ACADEMY,TEXAS,TEXAS,UTPB STEM ACADEMY,4801443,6913,563
UVALDE CISD,Texas,TEXAS,UVALDE CISD,4843720,10143,4750
UWHARRIE CHARTER ACADEMY,North Carolina,NORTH CAROLINA,Uwharrie Charter Academy,3700334,6884,839
UXBRIDGE,Massachusetts,MASSACHUSETTS,Uxbridge,2511850,14737,1859
V I T CUSD 2,Illinois,ILLINOIS,V I T CUSD 2,1738490,13688,368
V. B. GLENCOE CHARTER SCHOOL,Louisiana,LOUISIANA,V. B. Glencoe Charter School,2200032,10656,346
VA DEPT OF MILITARY AFFAIRS,Virginia,VIRGINIA,VA DEPT OF MILITARY AFFAIRS,5100053,†,†
VACAVILLE UNIFIED,California,CALIFORNIA,Vacaville Unified,0640590,9935,12952
VAIL UNIFIED DISTRICT (4413),Arizona,ARIZONA,Vail Unified District,0408850,7210,12702
VAL VERDE UNIFIED,California,CALIFORNIA,Val Verde Unified,0691135,13604,19953
VALDERS AREA SCHOOL DISTRICT,Wisconsin,WISCONSIN,Valders Area School District,5515210,11454,1022
VALDEZ CITY SCHOOL DISTRICT,Alaska,ALASKA,Valdez City School District,0200780,24899,646
VALDOSTA CITY,Georgia,GEORGIA,Valdosta City,1305310,9434,8135
VALE SD 84,Oregon,OREGON,Vale SD 84,4100014,11463,948
VALENTINE COMMUNITY SCHOOLS,Nebraska,NEBRASKA,VALENTINE COMMUNITY SCHOOLS,3178020,17167,574
VALENTINE ELEMENTARY DISTRICT (4380),Arizona,ARIZONA,Valentine Elementary District,0408880,†,–
VALENTINE ISD,Texas,TEXAS,VALENTINE ISD,4843740,27239,46
VALERE PUBLIC SCHOOLS,Texas,TEXAS,EAST AUSTIN COLLEGE PREP,4801414,11145,669
VALHALLA UNION FREE SCHOOL DISTRICT,New York,NEW YORK,VALHALLA UNION FREE SCHOOL DISTRICT,3629400,29284,1480
VALIER ELEM,Montana,MONTANA,Valier Elem,3027060,14625,96
VALIER H S,Montana,MONTANA,Valier H S,3027090,22583,48
VALLE LINDO ELEMENTARY,California,CALIFORNIA,Valle Lindo Elementary,0640650,12471,1117
VALLECITO UNION,California,CALIFORNIA,Vallecito Union,0640680,13394,592
VALLECITOS ELEMENTARY,California,CALIFORNIA,Vallecitos Elementary,0640710,8208,341
VALLEJO CITY UNIFIED,California,CALIFORNIA,Vallejo City Unified,0640740,11022,14554
VALLEY,Montana,MONTANA,Valley,3000083,†,†
VALLEY ACADEMY,Utah,UTAH,VALLEY ACADEMY,4900158,7486,296
